macro_im_ts_code,macro_im_open,macro_im_close,macro_im_high,macro_im_low,macro_im_pre_close,macro_im_change,macro_im_pct_chg,macro_im_swing,macro_im_vol,trade_date
SPX,5984.63,6040.04,6040.1,5981.44,6040.04,0.0,0.0,0.97,,20241225
SPX,5984.63,6040.04,6040.1,5981.44,5974.07,65.97,1.1,0.98,1127118.0,20241224
SPX,5940.25,5974.07,5978.25,5902.57,5930.85,43.22,0.73,1.28,2311069.0,20241223
SPX,5842.0,5930.85,5982.06,5832.3,5867.08,63.77,1.09,2.55,6347727.0,20241220
SPX,5912.71,5867.08,5935.52,5866.07,5872.16,-5.08,-0.09,1.18,3217379.0,20241219
SPX,6047.65,5872.16,6070.67,5867.79,6050.61,-178.45,-2.95,3.35,3301322.0,20241218
SPX,6052.55,6050.61,6057.68,6035.19,6074.08,-23.47,-0.39,0.37,3000899.0,20241217
SPX,6063.79,6074.08,6085.19,6059.14,6051.09,22.99,0.38,0.43,3097240.0,20241216
SPX,6068.17,6051.09,6078.58,6035.77,6051.25,-0.16,0.0,0.71,2443474.0,20241213
SPX,6074.29,6051.25,6079.68,6051.25,6084.19,-32.94,-0.54,0.47,2378727.0,20241212
SPX,6060.15,6084.19,6092.59,6060.15,6034.91,49.28,0.82,0.54,2856985.0,20241211
SPX,6057.59,6034.91,6065.4,6029.89,6052.85,-17.94,-0.3,0.59,2778369.0,20241210
SPX,6083.01,6052.85,6088.51,6048.63,6090.27,-37.42,-0.61,0.65,2924094.0,20241209
SPX,6081.38,6090.27,6099.97,6079.98,6075.11,15.16,0.25,0.33,2494916.0,20241206
SPX,6089.03,6075.11,6094.55,6072.9,6086.49,-11.38,-0.19,0.36,2638049.0,20241205
SPX,6069.39,6086.49,6089.84,6061.06,6049.88,36.61,0.61,0.48,2629947.0,20241204
SPX,6042.97,6049.88,6052.07,6033.39,6047.15,2.73,0.05,0.31,2631960.0,20241203
SPX,6040.11,6047.15,6053.58,6035.33,6032.38,14.77,0.24,0.3,2724891.0,20241202
SPX,6003.98,6032.38,6044.17,6003.98,5998.74,33.64,0.56,0.67,1446140.0,20241129
SPX,6014.11,5998.74,6020.16,5984.87,6021.63,-22.89,-0.38,0.59,2090790.0,20241127
SPX,6000.03,6021.63,6025.42,5992.27,5987.37,34.26,0.57,0.55,2416828.0,20241126
SPX,5992.28,5987.37,6020.75,5963.91,5969.34,18.03,0.3,0.95,3948305.0,20241125
SPX,5944.36,5969.34,5972.9,5944.36,5948.71,20.63,0.35,0.48,2609740.0,20241122
SPX,5940.58,5948.71,5963.32,5887.26,5917.11,31.6,0.53,1.29,2857015.0,20241121
SPX,5914.34,5917.11,5920.67,5860.56,5916.98,0.13,0.0,1.02,2578080.0,20241120
SPX,5870.05,5916.98,5923.51,5855.29,5893.62,23.36,0.4,1.16,2673923.0,20241119
SPX,5874.17,5893.62,5908.12,5865.95,5870.62,23.0,0.39,0.72,2820487.0,20241118
SPX,5912.79,5870.62,5915.32,5853.01,5949.17,-78.55,-1.32,1.05,3288789.0,20241115
SPX,5989.68,5949.17,5993.88,5942.28,5985.38,-36.21,-0.6,0.86,2623462.0,20241114
SPX,5985.75,5985.38,6008.19,5965.91,5983.99,1.39,0.02,0.71,2602203.0,20241113
SPX,6003.6,5983.99,6009.92,5960.08,6001.35,-17.36,-0.29,0.83,2611468.0,20241112
SPX,6008.86,6001.35,6017.31,5986.69,5995.54,5.81,0.1,0.51,2714210.0,20241111
SPX,5976.76,5995.54,6012.45,5976.76,5973.1,22.44,0.38,0.6,2756537.0,20241108
SPX,5947.21,5973.1,5983.84,5947.21,5929.04,44.06,0.74,0.62,3071244.0,20241107
SPX,5864.89,5929.04,5936.14,5864.89,5782.76,146.28,2.53,1.23,4192067.0,20241106
SPX,5722.43,5782.76,5783.44,5722.1,5712.69,70.07,1.23,1.07,2366843.0,20241105
SPX,5725.15,5712.69,5741.43,5696.51,5728.8,-16.11,-0.28,0.78,2423396.0,20241104
SPX,5723.22,5728.8,5772.52,5723.22,5705.45,23.35,0.41,0.86,2742173.0,20241101
